timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:31:39.366, 70, 2820 MHz, 244.70 W, 100 %, 9640 MiB
2026/09/19 10:31:40.366, 70, 2820 MHz, 260.00 W, 100 %, 9640 MiB
2026/09/19 10:31:41.367, 70, 2820 MHz, 259.35 W, 100 %, 9640 MiB
2026/09/19 10:31:42.367, 71, 2820 MHz, 246.05 W, 100 %, 9640 MiB
2026/09/19 10:31:43.367, 71, 2820 MHz, 260.90 W, 100 %, 9640 MiB
2026/09/19 10:31:44.367, 71, 2820 MHz, 260.26 W, 100 %, 9640 MiB
2026/09/19 10:31:45.367, 71, 2820 MHz, 246.45 W, 100 %, 9640 MiB
2026/09/19 10:31:46.367, 71, 2820 MHz, 261.75 W, 100 %, 9640 MiB
2026/09/19 10:31:47.368, 71, 2820 MHz, 260.57 W, 100 %, 9640 MiB
2026/09/19 10:31:48.368, 71, 2820 MHz, 245.93 W, 100 %, 9640 MiB
2026/09/19 10:31:49.368, 71, 2820 MHz, 261.83 W, 100 %, 9640 MiB
2026/09/19 10:31:50.368, 71, 2820 MHz, 261.28 W, 100 %, 9640 MiB
2026/09/19 10:31:51.368, 70, 2820 MHz, 246.61 W, 100 %, 9640 MiB
2026/09/19 10:31:52.368, 71, 2820 MHz, 262.13 W, 100 %, 9640 MiB
2026/09/19 10:31:53.368, 71, 2820 MHz, 261.61 W, 100 %, 9640 MiB
2026/09/19 10:31:54.369, 71, 2820 MHz, 258.29 W, 100 %, 9640 MiB
2026/09/19 10:31:55.369, 71, 2820 MHz, 253.74 W, 100 %, 9640 MiB
2026/09/19 10:31:56.369, 66, 2820 MHz, 244.67 W, 100 %, 9640 MiB
2026/09/19 10:31:57.369, 70, 2820 MHz, 232.94 W, 100 %, 9640 MiB
2026/09/19 10:31:58.369, 70, 2820 MHz, 241.28 W, 100 %, 9640 MiB
2026/09/19 10:31:59.369, 70, 2820 MHz, 241.24 W, 100 %, 9640 MiB
2026/09/19 10:32:00.369, 71, 2820 MHz, 246.17 W, 100 %, 9640 MiB
2026/09/19 10:32:01.370, 71, 2805 MHz, 252.58 W, 99 %, 9640 MiB
2026/09/19 10:32:02.370, 69, 2820 MHz, 236.65 W, 100 %, 9640 MiB
2026/09/19 10:32:03.370, 69, 2820 MHz, 241.21 W, 100 %, 9640 MiB
2026/09/19 10:32:04.370, 69, 2820 MHz, 241.14 W, 100 %, 9668 MiB
2026/09/19 10:32:05.370, 70, 2820 MHz, 241.38 W, 100 %, 9688 MiB
2026/09/19 10:32:06.370, 72, 2820 MHz, 251.21 W, 99 %, 9687 MiB
2026/09/19 10:32:07.370, 72, 2820 MHz, 252.91 W, 100 %, 9670 MiB
2026/09/19 10:32:08.371, 70, 2820 MHz, 235.29 W, 100 %, 9670 MiB
2026/09/19 10:32:09.371, 70, 2820 MHz, 244.08 W, 100 %, 9652 MiB
2026/09/19 10:32:10.371, 70, 2820 MHz, 243.78 W, 100 %, 9643 MiB
2026/09/19 10:32:11.371, 70, 2820 MHz, 244.62 W, 100 %, 9643 MiB
2026/09/19 10:32:12.371, 71, 2820 MHz, 253.66 W, 100 %, 9643 MiB
2026/09/19 10:32:13.371, 68, 2820 MHz, 240.61 W, 100 %, 9643 MiB
2026/09/19 10:32:14.371, 70, 2820 MHz, 235.03 W, 100 %, 9643 MiB
2026/09/19 10:32:15.372, 70, 2820 MHz, 242.42 W, 100 %, 9643 MiB
2026/09/19 10:32:16.372, 70, 2820 MHz, 243.30 W, 100 %, 9643 MiB
2026/09/19 10:32:17.372, 72, 2820 MHz, 248.78 W, 100 %, 9643 MiB
2026/09/19 10:32:18.372, 72, 2820 MHz, 253.13 W, 100 %, 9643 MiB
2026/09/19 10:32:19.372, 70, 2820 MHz, 237.11 W, 100 %, 9643 MiB
2026/09/19 10:32:20.372, 70, 2820 MHz, 243.45 W, 100 %, 9643 MiB
2026/09/19 10:32:21.372, 70, 2820 MHz, 242.58 W, 100 %, 9643 MiB
2026/09/19 10:32:22.373, 69, 2820 MHz, 241.39 W, 100 %, 9643 MiB
2026/09/19 10:32:23.373, 71, 2820 MHz, 251.59 W, 100 %, 9643 MiB
2026/09/19 10:32:24.373, 71, 2820 MHz, 252.13 W, 100 %, 9643 MiB
2026/09/19 10:32:25.373, 70, 2820 MHz, 232.89 W, 100 %, 9643 MiB
2026/09/19 10:32:26.373, 70, 2820 MHz, 241.28 W, 100 %, 9643 MiB
2026/09/19 10:32:27.373, 70, 2820 MHz, 241.19 W, 100 %, 9643 MiB
2026/09/19 10:32:28.373, 70, 2820 MHz, 242.14 W, 100 %, 9643 MiB
2026/09/19 10:32:29.374, 71, 2820 MHz, 253.52 W, 100 %, 9643 MiB
2026/09/19 10:32:30.374, 72, 2820 MHz, 252.45 W, 100 %, 9643 MiB
