timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 15:20:02.809, 8445 MiB, 100 %, 66, 2835 MHz, 204.65 W
2026/09/19 15:20:03.809, 8445 MiB, 99 %, 67, 2820 MHz, 243.83 W
2026/09/19 15:20:04.810, 8445 MiB, 100 %, 66, 2835 MHz, 205.09 W
2026/09/19 15:20:05.810, 8445 MiB, 99 %, 74, 2730 MHz, 250.74 W
2026/09/19 15:20:06.810, 8445 MiB, 100 %, 75, 2670 MHz, 282.59 W
2026/09/19 15:20:07.810, 8445 MiB, 100 %, 67, 2835 MHz, 251.88 W
2026/09/19 15:20:08.810, 8445 MiB, 100 %, 66, 2835 MHz, 190.82 W
2026/09/19 15:20:09.810, 8445 MiB, 100 %, 74, 2760 MHz, 234.55 W
2026/09/19 15:20:10.811, 8445 MiB, 100 %, 74, 2730 MHz, 283.21 W
2026/09/19 15:20:11.811, 8445 MiB, 100 %, 68, 2820 MHz, 263.41 W
2026/09/19 15:20:12.811, 8445 MiB, 100 %, 66, 2835 MHz, 191.14 W
