timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 13:41:35.861, 9115 MiB, 100 %, 73, 2820 MHz, 254.57 W
2026/09/19 13:41:36.862, 9115 MiB, 100 %, 72, 2820 MHz, 237.65 W
2026/09/19 13:41:37.862, 9115 MiB, 100 %, 72, 2820 MHz, 243.65 W
2026/09/19 13:41:38.862, 9115 MiB, 100 %, 72, 2820 MHz, 243.65 W
2026/09/19 13:41:39.862, 9115 MiB, 100 %, 72, 2820 MHz, 243.58 W
2026/09/19 13:41:40.862, 9115 MiB, 100 %, 73, 2820 MHz, 251.64 W
2026/09/19 13:41:41.862, 9115 MiB, 100 %, 74, 2820 MHz, 253.76 W
2026/09/19 13:41:42.862, 9115 MiB, 100 %, 74, 2790 MHz, 256.82 W
2026/09/19 13:41:43.862, 9115 MiB, 100 %, 74, 2820 MHz, 256.39 W
2026/09/19 13:41:44.863, 9115 MiB, 100 %, 74, 2760 MHz, 256.46 W
2026/09/19 13:41:45.863, 9115 MiB, 100 %, 74, 2760 MHz, 256.98 W
2026/09/19 13:41:46.863, 9114 MiB, 100 %, 74, 2820 MHz, 257.71 W
2026/09/19 13:41:47.863, 9115 MiB, 100 %, 74, 2760 MHz, 259.87 W
2026/09/19 13:41:48.863, 9115 MiB, 100 %, 72, 2820 MHz, 229.54 W
2026/09/19 13:41:49.863, 9114 MiB, 100 %, 72, 2820 MHz, 233.23 W
2026/09/19 13:41:50.863, 9114 MiB, 100 %, 71, 2820 MHz, 232.76 W
2026/09/19 13:41:51.864, 9115 MiB, 100 %, 71, 2820 MHz, 232.57 W
2026/09/19 13:41:52.864, 9115 MiB, 99 %, 74, 2820 MHz, 250.20 W
2026/09/19 13:41:53.864, 9116 MiB, 100 %, 74, 2820 MHz, 254.62 W
2026/09/19 13:41:54.864, 9116 MiB, 100 %, 74, 2820 MHz, 256.88 W
2026/09/19 13:41:55.864, 9115 MiB, 100 %, 74, 2790 MHz, 255.94 W
2026/09/19 13:41:56.864, 9115 MiB, 99 %, 74, 2820 MHz, 256.56 W
2026/09/19 13:41:57.864, 9124 MiB, 100 %, 74, 2760 MHz, 257.49 W
2026/09/19 13:41:58.865, 9129 MiB, 100 %, 75, 2820 MHz, 256.05 W
2026/09/19 13:41:59.865, 9128 MiB, 100 %, 74, 2820 MHz, 259.08 W
2026/09/19 13:42:00.865, 9128 MiB, 100 %, 72, 2820 MHz, 232.49 W
2026/09/19 13:42:01.865, 9128 MiB, 100 %, 72, 2820 MHz, 232.94 W
2026/09/19 13:42:02.865, 9128 MiB, 100 %, 72, 2820 MHz, 232.77 W
2026/09/19 13:42:03.865, 904 MiB, 100 %, 71, 2820 MHz, 232.46 W
2026/09/19 13:42:04.865, 1721 MiB, 5 %, 58, 2850 MHz, 109.39 W
2026/09/19 13:42:05.866, 3892 MiB, 22 %, 57, 2850 MHz, 61.54 W
2026/09/19 13:42:06.866, 6053 MiB, 23 %, 55, 2625 MHz, 50.04 W
2026/09/19 13:42:07.866, 8091 MiB, 22 %, 55, 2625 MHz, 47.11 W
2026/09/19 13:42:08.866, 9124 MiB, 100 %, 70, 2835 MHz, 138.47 W
2026/09/19 13:42:09.866, 9124 MiB, 100 %, 71, 2820 MHz, 259.16 W
2026/09/19 13:42:10.866, 9124 MiB, 100 %, 72, 2820 MHz, 259.11 W
2026/09/19 13:42:11.866, 9124 MiB, 100 %, 72, 2820 MHz, 245.11 W
2026/09/19 13:42:12.867, 9115 MiB, 100 %, 73, 2820 MHz, 260.57 W
2026/09/19 13:42:13.867, 9115 MiB, 100 %, 73, 2820 MHz, 260.29 W
2026/09/19 13:42:14.867, 9115 MiB, 100 %, 73, 2820 MHz, 260.82 W
2026/09/19 13:42:15.867, 9115 MiB, 100 %, 74, 2775 MHz, 270.80 W
2026/09/19 13:42:16.867, 9115 MiB, 100 %, 72, 2820 MHz, 250.79 W
2026/09/19 13:42:17.867, 9114 MiB, 100 %, 72, 2820 MHz, 244.13 W
2026/09/19 13:42:18.868, 9115 MiB, 100 %, 72, 2820 MHz, 244.13 W
2026/09/19 13:42:19.868, 9115 MiB, 100 %, 72, 2820 MHz, 244.35 W
2026/09/19 13:42:20.868, 9115 MiB, 99 %, 74, 2805 MHz, 261.91 W
2026/09/19 13:42:21.868, 9114 MiB, 100 %, 75, 2790 MHz, 269.03 W
2026/09/19 13:42:22.868, 9115 MiB, 100 %, 72, 2820 MHz, 239.14 W
2026/09/19 13:42:23.868, 9115 MiB, 100 %, 72, 2820 MHz, 244.74 W
2026/09/19 13:42:24.868, 9115 MiB, 100 %, 73, 2820 MHz, 244.67 W
2026/09/19 13:42:25.868, 9114 MiB, 98 %, 74, 2820 MHz, 248.97 W
2026/09/19 13:42:26.869, 9115 MiB, 98 %, 75, 2805 MHz, 269.60 W
2026/09/19 13:42:27.869, 9115 MiB, 100 %, 76, 2790 MHz, 268.07 W
2026/09/19 13:42:28.869, 9115 MiB, 100 %, 75, 2760 MHz, 263.01 W
2026/09/19 13:42:29.869, 9114 MiB, 100 %, 74, 2745 MHz, 263.26 W
2026/09/19 13:42:30.869, 9115 MiB, 100 %, 75, 2745 MHz, 261.70 W
2026/09/19 13:42:31.869, 9115 MiB, 100 %, 75, 2745 MHz, 262.27 W
2026/09/19 13:42:32.870, 9115 MiB, 100 %, 75, 2715 MHz, 263.71 W
2026/09/19 13:42:33.870, 9114 MiB, 100 %, 72, 2820 MHz, 235.76 W
2026/09/19 13:42:34.870, 9115 MiB, 100 %, 72, 2820 MHz, 233.17 W
2026/09/19 13:42:35.870, 9115 MiB, 100 %, 72, 2820 MHz, 232.84 W
2026/09/19 13:42:36.870, 9115 MiB, 100 %, 71, 2820 MHz, 233.01 W
2026/09/19 13:42:37.870, 9115 MiB, 99 %, 73, 2760 MHz, 259.30 W
2026/09/19 13:42:38.870, 9115 MiB, 100 %, 76, 2775 MHz, 270.18 W
2026/09/19 13:42:39.870, 9115 MiB, 100 %, 75, 2775 MHz, 267.42 W
2026/09/19 13:42:40.871, 9115 MiB, 99 %, 76, 2790 MHz, 263.89 W
2026/09/19 13:42:41.871, 9114 MiB, 100 %, 75, 2670 MHz, 263.32 W
2026/09/19 13:42:42.871, 9115 MiB, 100 %, 75, 2760 MHz, 262.62 W
2026/09/19 13:42:43.871, 9115 MiB, 100 %, 75, 2685 MHz, 263.80 W
2026/09/19 13:42:44.871, 9115 MiB, 96 %, 71, 2820 MHz, 247.44 W
2026/09/19 13:42:45.871, 9114 MiB, 100 %, 72, 2820 MHz, 234.78 W
2026/09/19 13:42:46.871, 9115 MiB, 100 %, 72, 2820 MHz, 234.92 W
2026/09/19 13:42:47.872, 9115 MiB, 100 %, 71, 2820 MHz, 233.86 W
